barID,Name,State,Open Time,Closing Time,priceRange
0,Windy Wife Tavern,Washington,14,2,low
1,Breezy Cake Pub,Montana,13,1,medium
2,The Bright Frog ,Nevada,15,0,medium
3,The Normal Moose ,North Dakota,15,0,high
4,The  Fretful Pizza Bar,Iowa,15,1,medium
5,The Secretive Apple Tavern,Kentucky,15,2,low
6,Bright Toad Bar,Oklahoma,14,1,high
7,Spiritual Skull Inn,Delaware,12,1,high
8,The Subdued Armadillo Inn,Indiana,13,1,high
9,Knotty Cod Inn,Kentucky,13,1,medium
10,Glib Pear Bar,Massachusetts,15,2,high
11,The  Fascinated Onion Inn,Illinois,15,2,medium
12,Roomy Badger Bar,Georgia,14,1,high
13,Dry Gorilla Pub,Florida,12,2,high
14,The Icy Dog ,Palau,15,0,high
15,The Sedate Gate Pub,Rhode Island,14,0,high
16,Ambitious Kitten ,Louisiana,13,1,low
17,Placid Cove Bar,Federated States of Micronesia,12,2,medium
18,The Guarded Tiger Tavern,Wisconsin,15,2,medium
19,Ubiquitous Bongo Pub,Kentucky,14,1,high
20,Detailed Flower Inn,Vermont,14,0,medium
21,The Ripe Adventurer Inn,Wyoming,15,2,high
22,Ripe Lyre Tavern,Marshall Islands,12,1,medium
23,The Abiding Wife Inn,Indiana,14,0,medium
24,Economic Captain Inn,Mississippi,12,0,low
25,Racial Pirate ,American Samoa,13,2,high
26,Neat Snowman Inn,Georgia,13,1,low
27,The Lowly Adventurer Pub,Georgia,13,2,high
28,Hesitant Pikachu Bar,Guam,15,0,medium
29,The Lonely Cake Tavern,Delaware,12,2,high
30,Electric Guitar Pub,Palau,14,2,medium
31,Delicate Gate Pub,Alaska,15,0,high
32,The Juvenile Toad Tavern,Utah,12,1,high
33,Groovy Crossbow Bar,District of Columbia,15,1,high
34,Wrong Frog Tavern,Arizona,13,2,low
35,The Scared Fish Bar,Missouri,12,1,high
36,Thoughtful Trumpet Bar,Vermont,15,2,high
37,The Waiting Guitar Pub,North Carolina,15,2,high
38,Stupendous Husband Inn,American Samoa,13,0,high
39,Overjoyed Frog Pub,Louisiana,14,0,high
40,The Meaty Captain ,South Carolina,14,2,high
41,The Ubiquitous Gate Pub,Texas,12,0,high
42,The Rotten Apple Bar,New Jersey,14,1,medium
43,The Used Cod Bar,Connecticut,14,1,medium
44,Alleged Cake Inn,Ohio,14,2,high
45,Psychotic Frog ,Iowa,12,1,high
46,Troubled Garden Bar,Utah,14,1,low
47,The Awful Pear ,Connecticut,15,0,low
48,The Demonic Lyre Inn,Georgia,13,1,low
49,Eminent Gate Pub,Tennessee,13,2,low
50,The Real Adventurer Tavern,Louisiana,12,1,low
51,The Adjoining Bongo Tavern,Arkansas,15,2,high
52,The Spicy Captain ,West Virginia,12,2,medium
53,Straight Kitten Pub,Alabama,12,1,low
54,Picayune Cove Tavern,Maryland,12,2,low
55,The Enormous Snowman ,Maryland,12,1,low
56,Eight Badger Pub,Hawaii,15,0,medium
57,Juvenile Tiger Pub,South Dakota,13,0,low
58,The Lowly Bongo Pub,Florida,13,2,low
59,Late Noodle Pub,Ohio,14,2,medium
60,Boorish Husband Tavern,North Carolina,13,1,high
61,Mighty Noodle Inn,Florida,14,2,low
62,Nippy Captain ,Northern Mariana Islands,14,2,medium
63,The Robust Onion Tavern,Maine,12,2,high
64,The Damaged Frog ,Rhode Island,13,0,high
65,Obeisant Dog Tavern,Guam,13,1,low
66,Honorable Cod Tavern,Northern Mariana Islands,13,0,medium
67,The Hushed Noodle Inn,Maine,12,0,low
68,The Prickly Wife ,Kentucky,15,2,low
69,The Gifted Elf ,Palau,13,1,high
70,Certain Badger Bar,Virginia,15,2,high
71,The Past Flower ,Delaware,15,0,low
72,The Sweltering Gorilla Pub,Pennsylvania,13,0,medium
73,Overjoyed Fish Pub,Tennessee,15,0,high
74,The Spotless Tiger Bar,Illinois,14,2,high
75,Trashy Badger Bar,Illinois,15,2,high
76,The Knowledgeable Lion Bar,Virginia,13,0,medium
77,Spectacular Flower Pub,New Mexico,13,2,high
78,The Mute Pikachu Inn,Indiana,14,1,medium
79,Curious Flower Bar,Missouri,12,2,high
80,Well-Groomed Crossbow Bar,Massachusetts,13,1,medium
81,The Damaged Gate Tavern,New York,15,1,high
82,The Watery Pear Pub,Texas,13,0,medium
83,Cool Guitar Bar,Illinois,13,0,medium
84,The Highfalutin Captain ,North Dakota,12,1,low
85,The Unable Crossbow Inn,North Dakota,14,0,low
86,The Intelligent Lyre Pub,Vermont,12,0,medium
87,Handsomely Bongo Inn,New York,12,0,high
88,Fantastic Pizza ,South Carolina,15,2,high
89,Marvelous Rose Pub,Oregon,14,1,high
90,The Half Pear Inn,Wisconsin,13,0,low
91,The Brief Banjo ,Missouri,12,0,medium
92,The Gaping Lioness Pub,District of Columbia,14,2,low
93,Well-Made Badger Tavern,New York,15,2,low
94,The Workable Kitten Inn,Delaware,13,1,medium
95,Ordinary Pikachu Inn,Colorado,14,2,high
96,Learned Pirate Inn,South Carolina,13,1,high
97,Aromatic Adventurer Tavern,Nevada,13,2,high
98,The Fat Faulty Lion ,North Dakota,15,2,high
99,The  Five Lioness Inn,New Jersey,12,2,low
100,The Barbarous Gate ,Virginia,12,2,medium
101,The Distinct Lion Bar,Vermont,15,0,medium
102,Friendly Onion Pub,New Jersey,15,1,high
103,Judicious Moose Inn,Delaware,12,0,high
104,Careless Banjo Inn,Florida,14,1,medium
105,The Wealthy Gate ,New Mexico,12,1,high
106,The Joyous Badger Inn,Hawaii,13,0,medium
107,Tenuous Captain Bar,Minnesota,15,2,high
108,Petite Moose Inn,New York,14,1,medium
109,Hateful Mole Pub,Pennsylvania,12,1,low
110, Far-Flung Moose Bar,Hawaii,14,2,high
111,Lush Guitar Pub,Indiana,12,1,high
112,Obedient Noodle Inn,Pennsylvania,14,0,high
113,Simple Lyre ,New York,13,0,medium
114,The Gaping Bongo Bar,Wisconsin,13,1,high
115,The Imminent Wife Inn,Colorado,13,0,low
116,The Living Frog Pub,Alaska,15,1,high
117,Fancy Guitar Pub,Florida,15,0,medium
118,Material Pikachu Inn,Nebraska,13,1,medium
119,Amused Pikachu Bar,New Mexico,13,1,low
120,The Spectacular Adventurer Inn,Massachusetts,13,2,medium
121,Lamentable Banjo Bar,Oregon,15,1,low
122,Rustic Pirate Bar,Minnesota,13,0,high
123,Adorable Skull ,Nebraska,15,1,low
124,Knotty Moose Bar,Illinois,15,2,high
125,Didactic Planet Bar,Florida,12,0,medium
126,Zealous Cove Tavern,Washington,12,2,high
127,Organic Banjo Tavern,Ohio,14,0,medium
128,The Simplistic Kitten Inn,Delaware,12,2,medium
129,The Debonair Lion Bar,New Hampshire,15,0,medium
130,Literate Snowman Inn,Mississippi,14,0,high
131,The Irate Noodle Tavern,New Jersey,15,1,high
132,The Irritating Mole ,Virginia,12,1,low
133,The Stingy Husband Pub,Tennessee,15,2,medium
134,The Tasteful Wife Bar,Connecticut,13,2,medium
135,Rough Banjo ,Nevada,13,2,high
136,Actually Planet ,Missouri,13,0,low
137,Shut Onion Tavern,Maine,14,0,high
138,The Bored Tiger Tavern,Nevada,15,1,low
139,The Macabre Gorilla Pub,Florida,14,0,low
140,Milky Frog Bar,Hawaii,14,2,medium
141,The Scary Husband Pub,Ohio,13,2,low
142,The Eager Lyre Tavern,Mississippi,15,2,medium
143,The Pushy Skull Pub,West Virginia,13,2,high
144,Hissing Badger Inn,Nebraska,12,1,medium
145,The Smart Captain Inn,Connecticut,13,2,high
146,The Lively Badger Bar,Utah,14,2,low
147,Hapless Gate ,New Hampshire,15,0,low
148,The Purring Moose Pub,Marshall Islands,14,1,low
149,Verdant Flower Tavern,Montana,14,1,high
150,Abounding Moose ,Massachusetts,15,2,medium
151,Zany Cave ,Kansas,14,1,medium
152,The Truculent Badger Bar,Ohio,14,0,low
153,Military Lioness Pub,Arizona,14,1,high
154,Loud Lion Tavern,Arizona,15,1,medium
155,The Righteous Noodle Inn,Vermont,12,2,medium
156,Hushed Pizza Tavern,Texas,14,1,low
157,The Naive Skull Tavern,Indiana,15,1,low
158,The Eager Lyre Tavern,Wisconsin,13,1,low
159,The Concerned Pirate Tavern,Wisconsin,12,2,low
160,Highfalutin Moose Inn,Puerto Rico,12,1,medium
161,Deafening Pirate ,Delaware,15,0,high
162,Aware Elf Bar,Alaska,12,1,medium
163,Dry Pizza Pub,Puerto Rico,13,0,low
164,Tremendous Elf Tavern,New Mexico,12,0,medium
165,The Happy Kitten Tavern,New Jersey,15,2,medium
166,Neat Flower ,Pennsylvania,15,1,high
167,The Tasty Onion Pub,Georgia,14,1,medium
168,Hypnotic Adventurer Tavern,Ohio,13,2,high
169,Subsequent Pear Inn,Colorado,13,1,high
170,The Watery Badger ,Maryland,15,0,high
171,Skillful Noodle Pub,Maine,15,2,low
172,Plausible Skull Pub,Arizona,14,2,high
173,The Bored Noodle ,Michigan,14,1,high
174,The Abandoned Gate Pub,Maine,14,1,medium
175,The Husky Garden Inn,South Carolina,12,0,high
176,Steady Apple Pub,Indiana,15,2,low
177,The Unsightly Rose Bar,Alabama,12,1,medium
178,Unnatural Bongo Inn,Georgia,13,0,medium
179,The Jagged Lioness ,South Carolina,15,2,medium
180,The Bouncy Pear Pub,Georgia,15,1,low
181,Past Kitten Pub,New Hampshire,12,2,high
182,Uttermost Moose Inn,Washington,15,2,low
183,The Interesting Noodle Bar,South Dakota,14,0,high
184,The Complex Fish Pub,Puerto Rico,15,2,high
185,Silly Bongo Tavern,Oregon,13,2,medium
186,Three Pup Inn,American Samoa,12,0,high
187,The Jumpy Pizza ,Virgin Island,13,2,medium
188,Moldy Lioness ,Northern Mariana Islands,12,0,low
189,The Husky Noodle Inn,Delaware,13,0,low
190,Distinct Pirate Pub,Guam,13,0,medium
191,The Clever Guitar Bar,Mississippi,12,0,medium
192,The Electric Gate ,Connecticut,12,2,medium
193,The Colorful Pup ,Tennessee,14,2,medium
194,High-Pitched Pikachu Bar,Minnesota,12,0,low
195,Dead Skull Tavern,New Jersey,13,2,low
196,Flat Armadillo Inn,New Mexico,12,2,medium
197,The Dramatic Cake Pub,Oklahoma,12,0,medium
198,Numberless Snowman Tavern,Hawaii,12,0,low
199,The Noisy Moose ,Marshall Islands,15,2,high
200,The Abiding Moose Bar,Connecticut,13,0,high
201,The Dazzling Husband Pub,Virginia,13,2,high
202,Wandering Lioness ,Kentucky,13,1,high
203,The Clean Noodle Bar,Colorado,12,1,low
204,Mighty Pirate ,North Carolina,13,2,high
205,Oval Gate Bar,Ohio,13,1,low
206,The Snotty Bongo ,Guam,13,1,low
207,Motionless Banjo Inn,District of Columbia,14,2,high
208,Ambitious Snowman Bar,Northern Mariana Islands,12,1,low
209,Sneaky Cove Pub,Michigan,12,1,high
210,The Absent Lioness Pub,North Dakota,12,2,low
211,The Befitting Cod ,Iowa,13,2,low
212,The Stupendous Pear Tavern,Kentucky,15,0,high
213,The Grubby Gruesome Badger Pub,Maryland,13,1,medium
214,Illegal Tiger Bar,North Carolina,14,2,medium
215,The Quack Husband Inn,Illinois,15,0,medium
216,Weak Guitar Inn,Federated States of Micronesia,14,2,medium
217,Alcoholic Trumpet ,Virginia,13,1,low
218,The Shocking Toad Tavern,North Carolina,14,0,medium
219,Exultant Armadillo Pub,Washington,12,0,high
220,The Raspy Mole ,Palau,12,1,high
221,The Exciting Exclusive Garden Inn,Maryland,15,1,medium
222,Unbiased Armadillo Bar,South Dakota,12,0,low
223,The Interesting Pirate Inn,American Samoa,13,0,high
224,The Synonymous Trumpet ,Vermont,12,2,medium
225,Tasty Badger Tavern,Montana,13,1,high
226,Ancient Lyre ,Massachusetts,13,2,medium
227,Meek Captain ,Montana,15,0,high
228,The Garrulous Kitten Pub,Missouri,15,0,low
229,Shallow Armadillo Bar,Oregon,13,2,medium
230,The Narrow Snowman ,Northern Mariana Islands,12,2,low
231,Complex Onion Bar,New York,15,2,high
232,The Smelly Lion ,Maryland,15,0,medium
233,Straight Onion Pub,Rhode Island,15,2,low
234,The Adaptable Crossbow Bar,Puerto Rico,12,2,high
235,The Waggish Mole Inn,Arizona,14,2,high
236,Ahead Pup Bar,Hawaii,14,1,medium
237,Alluring Trumpet Pub,South Dakota,12,0,low
238,Worried Captain Tavern,Texas,14,0,medium
239,Stimulating Badger Inn,West Virginia,13,0,high
240,The Purple Badger Bar,Nebraska,12,1,low
241,Heartbreaking Elf Bar,Northern Mariana Islands,12,2,low
242,Bent Apple ,Virginia,15,0,medium
243,Torpid Snowman Inn,Maryland,14,2,low
244,Tasteful Toad Tavern,New Mexico,13,1,low
245,The Abortive Lyre ,Nebraska,12,2,low
246,The Perpetual Crossbow Bar,West Virginia,13,1,medium
247,The Slim Lyre ,Guam,15,1,medium
248,General Gentle Noodle Pub,Federated States of Micronesia,12,0,medium
249,The Fuzzy  Noodle ,Maryland,14,2,low
250,Amazing Bongo Pub,Virgin Island,13,2,low
251,The Ignorant Cake Bar,Federated States of Micronesia,12,0,low
252,Fuzzy  Pup ,Arkansas,13,1,medium
253,The Black-And-White Trumpet Tavern,Hawaii,14,0,low
254,Knowing Badger Pub,Colorado,14,1,low
255,Pumped Garden Tavern,Minnesota,14,0,low
256,The Present Apple Tavern,Alabama,12,1,low
257,The Slow Pirate Pub,Indiana,12,0,low
258,Boundless Adventurer ,Puerto Rico,14,0,low
259,Best Captain Pub,Maryland,13,2,high
260,The Oceanic Tiger Inn,Maine,13,2,low
261,The Calculating Dog Tavern,New York,15,2,low
262,The Happy Wife Tavern,Rhode Island,13,1,low
263,Uncovered Gorilla ,Wisconsin,13,2,high
264,Didactic Toad Pub,Federated States of Micronesia,12,0,low
265,Maddening Kitten Inn,Oklahoma,14,0,medium
266,The Tangy Planet Pub,Rhode Island,14,0,low
267,The Infamous Captain ,Virgin Island,14,2,medium
268,Disillusioned Badger Bar,South Carolina,15,2,high
269,The Wonderful Elf Bar,Nevada,13,0,medium
270,The Successful Pup Bar,Idaho,14,1,medium
271,The Many Gate Tavern,Nevada,15,1,medium
272,Spotless Adventurer ,Mississippi,12,2,low
273,The Brave Badger Inn,California,15,2,medium
274,Calm Banjo Pub,Wyoming,14,2,low
275,The Alive Skull Tavern,Florida,13,2,medium
276,Hilarious Fish Tavern,Vermont,12,0,high
277,The Poor Apple Tavern,Arkansas,13,1,high
278,Ragged Pear Bar,American Samoa,14,1,medium
279,Childlike Pikachu Tavern,Nebraska,14,0,low
280,The Pleasant Armadillo ,Montana,14,0,low
281,The Vast Bongo Bar,Tennessee,12,0,medium
282,The Cheap Elf ,Colorado,15,0,high
283,The Nostalgic Rose Inn,Ohio,14,1,low
284,Lewd Armadillo Bar,Puerto Rico,13,2,medium
285,The Humorous Crossbow Bar,Delaware,15,0,high
286,Different Gate ,Guam,15,2,medium
287,Average Lion ,California,15,2,low
288,The Gifted Cove Inn,Palau,12,1,high
289,The Ugly Garden Bar,Montana,12,1,low
290,The Threatening Pear Inn,New York,13,0,high
291,The Living Onion ,District of Columbia,15,1,low
292,Resonant Garden Pub,Indiana,13,1,high
293,Equable Mole Inn,Puerto Rico,15,0,high
294,The Long-Term Husband Tavern,Oregon,15,0,low
295,Piquant Onion Bar,Arkansas,12,2,medium
296,Miscreant Gate Pub,Texas,13,1,low
297,The Fluttering Lion Tavern,Arkansas,12,2,low
298,Lavish Garden Pub,West Virginia,14,0,high
299,Messy Guitar Inn,West Virginia,12,1,low
300,Loose Trumpet ,Wisconsin,15,0,high
301,The Placid Apple Bar,Marshall Islands,12,1,medium
302,The Warm Pirate Pub,Illinois,14,1,low
303,The Nervous Frog Bar,Washington,13,1,medium
304,Cute Cave Inn,Puerto Rico,14,0,low
305,Rich Apple Bar,Arkansas,12,2,high
306,Pleasant Frog ,West Virginia,14,0,medium
307,Alcoholic Husband Tavern,Vermont,15,0,high
308,The Frantic Adventurer Bar,New York,15,2,low
309,Rural Apple Inn,Indiana,15,1,high
310,Scandalous Tiger ,Arkansas,14,2,medium
311,Garrulous Cake Inn,Nebraska,14,1,low
312,The Heady Rose Tavern,Idaho,14,2,medium
313,The Natural Trumpet Bar,Utah,14,2,low
314,The Lean Pizza Bar,Iowa,15,1,high
315,The Expensive Skull Pub,South Dakota,13,2,high
316,The Heady Noodle Pub,Tennessee,12,1,medium
317,The Mysterious Captain ,Vermont,15,1,medium
318,The Boorish Cove Bar,Colorado,14,2,medium
319,Muddled Noodle ,Maryland,12,1,low
320,The Jumbled Frog ,New Hampshire,14,0,medium
321,The Untidy Crossbow ,Arkansas,12,0,low
322,The Ordinary Mole Bar,New Mexico,15,2,low
323,The Creepy Husband Tavern,Oklahoma,14,0,medium
324,The Homeless Cod ,Arizona,13,1,medium
325,Enormous Toad Pub,Louisiana,13,1,high
326,The Soggy Skull Tavern,Alabama,14,0,high
327,The Crooked Gorilla Inn,California,13,0,low
328,Obsolete Elf Tavern,Ohio,15,0,medium
329,Illegal Garden Pub,Colorado,13,1,low
330,Sordid Elf Inn,Indiana,15,0,medium
331,The Equal Kitten ,Marshall Islands,14,2,medium
332,The Prickly Frog Bar,Michigan,13,0,low
333,Flat Kitten Tavern,Ohio,12,0,medium
334,Secretive Planet Bar,Palau,13,2,low
335,Ruthless Kitten Inn,New York,12,1,high
336,The Poor Lioness ,Florida,14,2,medium
337,The Sassy Tiger ,Kentucky,12,0,medium
338,Callous Snowman ,Wisconsin,14,1,high
339,Squealing Cave Tavern,Kansas,15,2,high
340,Nebulous Pirate Pub,American Samoa,12,2,low
341,The Impolite Pikachu Inn,Idaho,14,2,low
342,The Faded Mole Bar,Idaho,13,1,high
343,Salty Cod Bar,Vermont,12,1,high
344,The Ruthless Lion Pub,Indiana,13,2,low
345,The Smooth Mole Inn,Alabama,15,2,low
346,The Homeless Bongo Tavern,Mississippi,13,1,low
347,Synonymous Pizza Inn,Delaware,15,0,medium
348,The Damaged Gorilla Pub,Connecticut,15,1,high
349,Languid Gate ,North Dakota,14,0,low
350,Halting Cake ,Ohio,15,0,medium
351,The Unusual Pizza Tavern,Oregon,12,0,high
352,The Warlike Cave Bar,Maine,15,2,low
353,Illegal Noodle Pub,Rhode Island,12,2,low
354,The Apathetic Trumpet Inn,New York,15,0,medium
355,Bumpy Pikachu Tavern,North Dakota,12,2,high
356,Pastoral Noodle Inn,Missouri,15,1,high
357,Dysfunctional Noodle Pub,New Hampshire,13,2,high
358,The Curvy Trumpet ,Pennsylvania,14,2,high
359,The  Frequent Banjo Bar,Missouri,14,1,high
360,Grubby Gruesome Snowman Bar,Puerto Rico,14,0,high
361,The Waggish Moose Inn,Hawaii,13,0,high
362,The Grandiose Captain Tavern,Texas,13,0,high
363,The Heavenly Heavy Hellish Planet Pub,Minnesota,13,2,high
364,The Plain Captain Tavern,Connecticut,13,0,medium
365,The Tense Armadillo Tavern,Illinois,12,0,low
366,The Useful Garden ,Missouri,12,0,low
367,Macho Cove Inn,Georgia,15,1,high
368,The Unaccountable Kitten ,Iowa,14,0,high
369,Scary Lioness Bar,Arizona,13,0,low
370,Hanging Cod ,American Samoa,12,0,high
371,Adventurous Rose Tavern,North Carolina,13,0,medium
372,The Beautiful Banjo Inn,Illinois,14,0,high
373,The Nifty Garden Tavern,Virginia,15,2,medium
374,Luxuriant Noodle Tavern,Missouri,14,2,high
375,Nervous Bongo Bar,Idaho,14,0,high
376,Unnatural Skull Inn,Montana,13,2,low
377,The Likeable Pear Inn,Illinois,13,1,medium
378,Vacuous Apple Pub,Wisconsin,15,2,high
379,Useful Pirate Pub,South Dakota,14,0,low
380,The Victorious Flower Tavern,Colorado,15,0,high
381,Hulking Badger ,Connecticut,13,1,medium
382,The Jealous Lion Tavern,Mississippi,14,1,medium
383,Tangy Rose Tavern,Utah,13,2,medium
384,Quack Kitten Bar,South Carolina,15,2,low
385,The Truculent Skull Inn,Ohio,13,2,medium
386,Unarmed Armadillo Pub,Maine,14,0,medium
387,The Short Crossbow Inn,Wisconsin,14,1,low
388,Idiotic Onion ,New Hampshire,14,0,medium
389,The Vulgar Pikachu Bar,Missouri,14,1,high
390,The Scary Armadillo Bar,Alaska,14,0,medium
391,Courageous Cake Bar,Colorado,13,2,medium
392,The Nostalgic Pirate Tavern,Delaware,12,1,high
393,Understood Moose Inn,Hawaii,15,1,high
394,The Hurried Tiger Bar,Hawaii,14,2,low
395,Evasive Wife Inn,Idaho,14,2,high
396,The Glib Skull Pub,California,13,0,medium
397,The Previous Fish Pub,Pennsylvania,12,1,low
398,The Best Crossbow Pub,Kentucky,12,0,high
399,Womanly Snowman Tavern,Indiana,13,0,low
400,The Lacking Armadillo Bar,New York,14,0,high
401,Hallowed Tiger Bar,Louisiana,14,0,low
402,Rainy Bongo Bar,New Jersey,12,1,medium
403,Uptight Banjo Pub,Georgia,15,0,low
404,The Useless Banjo Inn,Northern Mariana Islands,15,2,low
405,Insidious Badger Inn,Mississippi,15,1,medium
406,Agreeable Apple Tavern,California,12,0,high
407,The Soft Adventurer Pub,New Mexico,12,1,low
408,Rotten Guitar Pub,Hawaii,14,2,high
409,Ruthless Moose ,Montana,15,0,high
410,Crazy Frog Inn,Indiana,12,1,low
411,The Addicted Pikachu Pub,Wisconsin,15,0,low
412,Deserted Wife Bar,Virginia,14,2,medium
413,Illustrious Moose Pub,Northern Mariana Islands,12,2,high
414,The Big Badger ,Florida,14,0,low
415,The Ready Trumpet Pub,Colorado,14,1,low
416,The Flawless Mole Inn,Arizona,13,0,medium
417,Unkempt Apple Bar,Missouri,15,2,low
418,The Delicate Skull ,Delaware,14,0,medium
419,The Quaint Moose Inn,Rhode Island,14,2,low
420,Imaginary Noodle ,Vermont,14,0,high
421,The Depressed Fish Bar,Oklahoma,12,2,high
422,Spotless Banjo Inn,North Dakota,13,0,medium
423,Imperfect Lyre Pub,Wisconsin,15,0,high
424,The Symptomatic Trumpet Tavern,South Carolina,15,0,low
425,The Bitter Moose Pub,Alaska,15,1,low
426,Dark Crossbow Tavern,Mississippi,12,2,high
427,The Beneficial Gorilla Bar,New Jersey,15,1,high
428,Drab Dog Tavern,Iowa,15,2,medium
429,The False Familiar Famous Onion Inn,Palau,13,0,low
430,The Frightened Frightening Full Fumbling Functional Frog Tavern,Iowa,13,0,medium
431,The Conscious Flower Pub,Kansas,13,2,low
432,The Best Tiger Pub,Connecticut,13,2,low
433,Dazzling Tiger ,North Dakota,12,0,low
434,The Agonizing Onion Inn,Arizona,13,1,low
435,Imported Kitten Pub,Wyoming,14,1,medium
436,The Obsolete Cake Bar,Virginia,15,2,high
437,Statuesque Noodle Bar,Kansas,15,2,medium
438,The Meek Kitten Bar,New Hampshire,14,0,low
439,The Periodic Lioness Bar,Nevada,13,0,medium
440,The Sudden Guitar Inn,Illinois,13,2,low
441,Shrill Guitar Inn,Hawaii,15,1,high
442,Small Garden Inn,South Carolina,15,2,medium
443,Uttermost Adventurer Inn,Michigan,13,1,low
444,Dashing Pizza Inn,North Dakota,12,2,high
445,Imminent Moose Bar,Alabama,14,1,medium
446,Gaudy Snowman Tavern,Illinois,15,0,low
447,The Lopsided Tiger Inn,North Carolina,14,0,medium
448,The Average Husband Bar,Wisconsin,15,1,low
449,Dashing Cake Bar,Utah,15,0,low
450,The Fortunate Gorilla Pub,Pennsylvania,15,1,high
451,Imaginary Pikachu Pub,Kansas,14,2,low
452,The Cluttered Toad Bar,California,15,0,high
453,Salty Mole Bar,West Virginia,12,1,high
454,Marked Lion Bar,Indiana,14,2,high
455,The Nostalgic Noodle Bar,Puerto Rico,14,2,high
456,Military Pizza Inn,Washington,15,1,low
457,The Accidental Banjo Pub,Michigan,15,0,low
458,Important Cove Inn,North Carolina,13,2,low
459,The Cheerful Cod Bar,Minnesota,13,1,high
460,Neat Dog Bar,Delaware,13,1,high
461,Mixed Bongo Pub,Alabama,12,0,medium
462,Spotted Cake Bar,Massachusetts,15,2,medium
463,Quizzical Onion Pub,Maryland,13,2,medium
464,Ubiquitous Lioness Tavern,New York,12,1,low
465,Gaudy Captain Pub,Massachusetts,15,1,high
466,The Detailed Garden Bar,Michigan,12,1,low
467,The Black-And-White Crossbow ,Massachusetts,15,2,high
468,Psychedelic Pirate Pub,Louisiana,14,1,medium
469,The Sleepy Rose Pub,Minnesota,12,1,low
470,The Longing Badger ,Federated States of Micronesia,12,0,low
471,Used Pikachu Inn,Arkansas,15,0,medium
472,Charming Pikachu ,Kentucky,14,0,medium
473,The Merciful Guitar Inn,Florida,12,2,high
474,Sparkling Mole Tavern,Maine,14,2,medium
475,The Juicy Cod Inn,Arkansas,15,0,high
476,The Proud Skull Bar,Marshall Islands,15,1,low
477,Hushed Flower Bar,Kentucky,13,2,low
478,The Same Lyre Pub,Virginia,14,1,high
479,Thoughtless Husband ,California,12,1,medium
480,Bashful Rose Pub,Marshall Islands,15,0,low
481,Real Flower Bar,Vermont,13,0,medium
482,The Grandiose Trumpet Tavern,Alabama,13,0,high
483,The Useful Cove Tavern,Iowa,14,2,medium
484,The Sleepy Gorilla Pub,California,13,2,medium
485,The Nosy Trumpet Pub,North Carolina,15,0,low
486,The Pathetic Planet Inn,Virginia,12,1,medium
487,Complete Pirate ,Northern Mariana Islands,14,0,medium
488,Swanky Cake Bar,Michigan,15,0,medium
489,Overjoyed Mole Bar,Arkansas,14,0,low
490,The Tiny Cave Bar,Rhode Island,14,2,low
491,Aquatic Pikachu Pub,Oklahoma,12,0,low
492,Handsomely Rose Tavern,Georgia,15,0,medium
493,The Measly Pikachu Bar,North Dakota,13,2,low
494,The Callous Kitten Pub,Oklahoma,13,2,low
495,The Uneven Pirate Bar,Puerto Rico,15,0,high
496,The Adjoining Snowman Tavern,Palau,12,0,low
497,The Unadvised Husband Inn,Federated States of Micronesia,15,0,medium
498,The Brash Kitten Tavern,South Dakota,15,0,medium
499,The Fluffy Toad Tavern,Illinois,15,0,high
500,Versed Apple Bar,Kansas,13,0,low
501,The Easy Flower Pub,New Jersey,15,0,high
502,Keen Snowman Pub,New Jersey,12,2,high
503,Verdant Crossbow Pub,Washington,14,2,high
